Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,Bundesland.Name,Bundesland.Iso3166-2,Fußnoten,Bemerkung,KI-Text,gespeichert
D,HM,Hameln-Pyrmont,HaMeln,Niedersachsen,DE-NI,,,,nein
D,HMÜ,Göttingen,Hann. MÜnden,Niedersachsen,DE-NI,,,,nein
D,HN,Heilbronn,HeilbronN,Baden-Württemberg,DE-BW,1,,,nein
D,HO,Hof,HOf,Bayern,DE-BY,1,,,nein
D,HOG,Kassel,HOfGeismar,Hessen,DE-HE,,,,nein
D,HOH,Haßberge,HOfHeim,Bayern,DE-BY,,,,nein
D,HOL,Holzminden,HOLzminden,Niedersachsen,DE-NI,,,,nein
D,HOM,Saarpfalz-Kreis außer Stadt St. Ingbert (IGB),HOMburg,Saarland,DE-SL,,,,nein
D,HOR,Freudenstadt,HORb,Baden-Württemberg,DE-BW,,,,nein
D,HOT,Zwickau,HOhensTein,Sachsen,DE-SN,,,,nein
D,HP,Bergstraße,HepPenheim,Hessen,DE-HE,,,,nein
D,HR,Schwalm-Eder-Kreis,HombeRg,Hessen,DE-HE,,,,nein
D,HRO,Hansestadt Rostock,Hansestadt ROstock,Mecklenburg-Vorpommern,DE-MV,,,,nein
D,HS,Heinsberg,HeinSberg,Nordrhein-Westfalen,DE-NW,,,,nein
D,HSK,Hochsauerlandkreis,HochSauerlandKreis,Nordrhein-Westfalen,DE-NW,,,,nein
D,HST,"Hansestadt Stralsund, Stadt",Hansestadt STralsund,Mecklenburg-Vorpommern,DE-MV,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Vorpommern-Rügen",,nein
D,HU,"Hanau, Main-Kinzig-Kreis",HanaU,Hessen,DE-HE,2,,,nein
D,HV,Stendal,HaVelberg,Sachsen-Anhalt,DE-ST,,,,nein
D,HVL,Havelland,HaVelLand,Brandenburg,DE-BB,,,,nein
D,HWI,Hansestadt Wismar,Hansestadt WIsmar,Mecklenburg-Vorpommern,DE-MV,,,,nein
D,HX,Höxter,HöXter,Nordrhein-Westfalen,DE-NW,,,,nein
D,HY,Bautzen,HoYerswerda,Sachsen,DE-SN,,,,nein
D,HZ,Harz,HarZ,Sachsen-Anhalt,DE-ST,,,,nein
D,HÖS,Erlangen-Höchstadt,HÖchStadt,Bayern,DE-BY,,,,nein
D,IGB,"St. Ingbert, Stadt",InGBert,Saarland,DE-SL,,,,nein
D,IK,Ilm-Kreis,Ilm-Kreis,Thüringen,DE-TH,,,,nein
D,IL,Ilm-Kreis,ILmenau,Thüringen,DE-TH,,,,nein
D,ILL,Neu-Ulm,ILLertissen,Bayern,DE-BY,,,,nein
D,IN,"Ingolstadt, Stadt",INgolstadt,Bayern,DE-BY,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Eichstätt",,nein
D,IZ,Steinburg,ItZehoe,Schleswig-Holstein,DE-SH,,,,nein
D,J,"Jena, Stadt",Jena,Thüringen,DE-TH,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Saale-Holzland-Kreis",,nein
D,JE,Wittenberg,JEssen,Sachsen-Anhalt,DE-ST,,,,nein
D,JL,Jerichower Land,Jerichower Land,Sachsen-Anhalt,DE-ST,,,,nein
D,JÜL,Düren,JÜLich,Nordrhein-Westfalen,DE-NW,,,,nein
D,K,"Köln, Stadt",Köln,Nordrhein-Westfalen,DE-NW,,,,nein
D,KA,Karlsruhe,KArlsruhe,Baden-Württemberg,DE-BW,1,,,nein
D,KB,Waldeck-Frankenberg,KorBach,Hessen,DE-HE,,,,nein
D,KC,Kronach,KronaCh,Bayern,DE-BY,,,,nein
D,KE,"Kempten (Allgäu), Stadt",KEmpten,Bayern,DE-BY,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Oberallgäu",,nein
D,KEH,Kelheim,KElHeim,Bayern,DE-BY,,,,nein
D,KEL,Ortenaukreis,KEhL,Baden-Württemberg,DE-BW,,,,nein
